prod_picture,prod_no,prod_external,cat_code,prodName,prod_price,prod_salesprice,brief_Desc,Other_Desc,Brand_id,Inventory,prod_hot,prod_latest,prod_special,Related,,,,新分類
SY150500F,SY150500F,N/A,12124,"Sisle?a Radiance Anti-Aging Concentrate
抗皺活膚極光精華",12670,0,規格：30 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11250,,11250
SY150300F,SY150300F,N/A,12124,"Sisle?a Daily Line Reducer
抗皺活膚除皺精華",12670,0,規格：30 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11250,,11250
LA10947F,LA10947F,N/A,12124,"White Caviar Spot Treatment
鑽白魚子緊膚亮顏淡斑筆",4750,0,規格：4 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11250,,11250
S29006052404F,S29006052404F,N/A,12124,"Facial Treatment Essence 330ml
青春露",6510,0,規格：330 ml,SK-II,N/A,2,False,False,False,"S29006070071F,S29006045635F",,11250,,11250
"LA18997F-1,LA18997F-2",LA18997F,N/A,12124,"Cellular Serum Platinum Rare
鉑金精華液",23110,0,規格：30 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11250,,11250
LA08117F,LA08117F,N/A,12124,"Skin Caviar Liquid Lift
黃鑽魚子緊俏V顏菁露",15730,0,規格：50 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11250,,11250
LE27DS030I13F,LE27DS030I13F,N/A,12124,"IM EXTRAIT DIVIN
蠟菊賦活菁萃",3920,0,規格：30 ml,L'Occitane 歐舒丹,N/A,2,False,False,False,N/A,,11250,,11250
LE27SP030I12F,LE27SP030I12F,N/A,12124,"IMM PRECIOUS YOUTH SERUM
蠟菊精華修護露",2180,0,規格：30 ml,L'Occitane 歐舒丹,N/A,2,False,False,False,N/A,,11250,,11250
CN109410F,CN109410F,N/A,12125,"Super Restorative Day Cream (All Skin Type)
極緻精萃經典日霜",3840,0,規格：50 ml,Clarins克蘭詩,N/A,2,False,False,False,N/A,,11260,,11260
C371SW2540,EZC371SW2540F,N/A,12125,"Visible Whitening Traveler's Exclusive
光纖鑽白全新智慧修護膠囊三支裝",4300,0,規格：37顆 × 3,Elizabeth Arden 伊麗莎白雅頓,N/A,2,False,False,False,"EZC371SW2540F,EZC371SW2540F,EZC365SW2540F",,11260,,11260
SY114100F,SY114100F,N/A,12125,"Ecological Compound
全能乳液",6120,0,規格：125 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11260,,11260
SY154060F,SY154060F,N/A,12125,"Suprem?a Baume at Night
極致夜間奇蹟再生精質霜",19130,0,規格：50 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11260,,11260
LE7CP050I11AF,LE7CP050I11AF,N/A,12125,"PRECIOUS CREAM
蠟菊精華霜",2180,0,規格：50 ml,L'Occitane 歐舒丹,N/A,2,False,False,False,N/A,,11260,,11260
S29006065114F,S29006065114F,N/A,12125,"Cellumination Deep Surge EX 50g
超解析光感鑽白修護凝霜",3770,0,規格：50 g,SK-II,N/A,2,False,False,False,N/A,,11260,,11260
S29006067071F,S29006067071F,N/A,12125,"R.N.A.Power Radical New Age 80g
R.N.A.超肌能活膚霜",4430,0,規格：80 g,SK-II,N/A,2,False,False,False,N/A,,11260,,11260
S29006041040F,S29006041040F,N/A,12125,Whitening Source Derm Brightner 75g晶緻煥白勻透乳霜,3310,0,規格：75 g,SK-II,N/A,2,False,False,False,N/A,,11260,,11260
S29006067088F,S29006067088F,N/A,12125,"R.N.A.Power Radical New Age 100g
R.N.A.超肌能活膚霜",5060,0,規格：100 g,SK-II,N/A,2,False,False,False,N/A,,11260,,11260
S29006065190F,S29006065190F,N/A,12125,"Cellumination Mask-In Lotion 100ml
環采鑽白潤透晶露",2210,0,規格：100 ml,SK-II,N/A,2,False,False,False,N/A,,11260,,11260
"LA23091F-1,LA23091F-2",LA23091F,N/A,12125,"Skin Caviar Luxe Cream
魚子美顏豐潤霜",13800,0,規格：50 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11260,,11260
SY126800F,SY126800F,N/A,12125,"Moisturiser with Cucumber
清新面霜",4510,0,規格：50 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11260,,11260
SY126600F,SY126600F,N/A,12125,"Hydra Global Intense Anti-Aging Hydration
聚水賦活精華",6210,0,規格：40 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11260,,11260
SY151500F,SY151500F,N/A,12125,"Sisle?a-Elixir
抗皺活膚精華液",13600,0,規格：5 ml × 4,Sisley 希思黎,N/A,2,False,False,False,N/A,,11260,,11260
CN80004223F,CN80004223F,N/A,12125,"Super Restorative Night Cream (All Skin Type) - Asia 
Formula極緻精萃素顏晚霜",4100,0,規格：50 ml,Clarins克蘭詩,N/A,2,False,False,False,N/A,,11260,,11260
